run_id,symbol,fact_id,derived_fact_id,source_id,relative_table,positive_position_days,max_daily_notional_usdt,first_tier_cap_usdt,days_above_first_tier,days_higher_maintenance,days_lower_maintenance,min_delta_maintenance_usdt,max_delta_maintenance_usdt,days_balance_below_candidate,scope
run_dfea4b7ac1475668d5968c97,ETHUSDT,TIERS_MARG24_ETHUSDT_after,TIERS_MARG24_ETHUSDT_after_DERIVED,MARG24,after,1608,4079.94452000000,50000,0,0,1608,-10.199861300000000,-4.007006254308000,0,atemporal_daily_candidate_not_historical_applicability
run_ad71d751b20623006c195ff3,BTCUSDT,TIERS_MARGBTC25_BTCUSDT_before,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,MARGBTC25,before,276,3665.91320000000,50000,0,0,0,0E-14,0E-14,0,atemporal_daily_candidate_not_historical_applicability
run_dfea4b7ac1475668d5968c97,BTCUSDT,TIERS_MARGBTC25_BTCUSDT_before,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,MARGBTC25,before,1668,4162.46180000000,50000,0,0,0,0E-14,0E-14,0,atemporal_daily_candidate_not_historical_applicability
run_ad71d751b20623006c195ff3,BTCUSDT,TIERS_MARGBTC25_BTCUSDT_after,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,MARGBTC25,after,276,3665.91320000000,300000,0,0,0,0E-14,0E-14,0,atemporal_daily_candidate_not_historical_applicability
run_dfea4b7ac1475668d5968c97,BTCUSDT,TIERS_MARGBTC25_BTCUSDT_after,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,MARGBTC25,after,1668,4162.46180000000,300000,0,0,0,0E-14,0E-14,0,atemporal_daily_candidate_not_historical_applicability
run_ad71d751b20623006c195ff3,BTCUSDT,TIERS_MARGAUG25_BTCUSDT_before,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,MARGAUG25,before,276,3665.91320000000,300000,0,0,0,0E-14,0E-14,0,atemporal_daily_candidate_not_historical_applicability
run_dfea4b7ac1475668d5968c97,BTCUSDT,TIERS_MARGAUG25_BTCUSDT_before,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,MARGAUG25,before,1668,4162.46180000000,300000,0,0,0,0E-14,0E-14,0,atemporal_daily_candidate_not_historical_applicability
run_ad71d751b20623006c195ff3,BTCUSDT,TIERS_MARGAUG25_BTCUSDT_after,TIERS_MARGAUG25_BTCUSDT_after_DERIVED,MARGAUG25,after,276,3665.91320000000,300000,0,0,0,0E-14,0E-14,0,atemporal_daily_candidate_not_historical_applicability
run_dfea4b7ac1475668d5968c97,BTCUSDT,TIERS_MARGAUG25_BTCUSDT_after,TIERS_MARGAUG25_BTCUSDT_after_DERIVED,MARGAUG25,after,1668,4162.46180000000,300000,0,0,0,0E-14,0E-14,0,atemporal_daily_candidate_not_historical_applicability
run_ad71d751b20623006c195ff3,ETHUSDT,TIERS_MARGAUG25_ETHUSDT_before,TIERS_MARGAUG25_ETHUSDT_before_DERIVED,MARGAUG25,before,468,3905.52310000000,300000,0,0,468,-9.763807750000000,-6.229812875000000,0,atemporal_daily_candidate_not_historical_applicability
run_dfea4b7ac1475668d5968c97,ETHUSDT,TIERS_MARGAUG25_ETHUSDT_before,TIERS_MARGAUG25_ETHUSDT_before_DERIVED,MARGAUG25,before,1608,4079.94452000000,300000,0,0,1608,-10.199861300000000,-4.007006254308000,0,atemporal_daily_candidate_not_historical_applicability
run_ad71d751b20623006c195ff3,ETHUSDT,TIERS_MARGAUG25_ETHUSDT_after,TIERS_MARGAUG25_ETHUSDT_after_DERIVED,MARGAUG25,after,468,3905.52310000000,300000,0,0,468,-9.763807750000000,-6.229812875000000,0,atemporal_daily_candidate_not_historical_applicability
run_dfea4b7ac1475668d5968c97,ETHUSDT,TIERS_MARGAUG25_ETHUSDT_after,TIERS_MARGAUG25_ETHUSDT_after_DERIVED,MARGAUG25,after,1608,4079.94452000000,300000,0,0,1608,-10.199861300000000,-4.007006254308000,0,atemporal_daily_candidate_not_historical_applicability
