run_id,fact_id,source_id,symbol,market,parameter,observed_value,observed_at_utc,orders_population,orders_tested,candidate_orders,orders_unknown,market_applicability,note,scope
run_dfea4b7ac1475668d5968c97,SPOTI22_ETHUSDT_LOT_SIZE_stepSize,SPOTI22,ETHUSDT,spot,LOT_SIZE.stepSize,0.0001,2022-01-02T13:48:38Z,212,212,0,0,,quantity_modulo_positive_step,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI22_ETHUSDT_MIN_NOTIONAL_minNotional,SPOTI22,ETHUSDT,spot,MIN_NOTIONAL.minNotional,10,2022-01-02T13:48:38Z,167,47,0,120,True,requested_quantity_times_first_fill_reference_proxy,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI22_ETHUSDT_MIN_NOTIONAL_minNotional,SPOTI22,ETHUSDT,spot,MIN_NOTIONAL.minNotional,10,2022-01-02T13:48:38Z,212,92,0,120,True,requested_quantity_times_first_fill_reference_proxy,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI22_ETHUSDT_MARKET_LOT_SIZE_minQty,SPOTI22,ETHUSDT,spot,MARKET_LOT_SIZE.minQty,0,2022-01-02T13:48:38Z,167,0,0,167,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI22_ETHUSDT_MARKET_LOT_SIZE_minQty,SPOTI22,ETHUSDT,spot,MARKET_LOT_SIZE.minQty,0,2022-01-02T13:48:38Z,212,0,0,212,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI22_ETHUSDT_MARKET_LOT_SIZE_maxQty,SPOTI22,ETHUSDT,spot,MARKET_LOT_SIZE.maxQty,1293.19022111,2022-01-02T13:48:38Z,167,167,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI22_ETHUSDT_MARKET_LOT_SIZE_maxQty,SPOTI22,ETHUSDT,spot,MARKET_LOT_SIZE.maxQty,1293.19022111,2022-01-02T13:48:38Z,212,212,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI22_ETHUSDT_MARKET_LOT_SIZE_stepSize,SPOTI22,ETHUSDT,spot,MARKET_LOT_SIZE.stepSize,0,2022-01-02T13:48:38Z,167,0,0,167,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI22_ETHUSDT_MARKET_LOT_SIZE_stepSize,SPOTI22,ETHUSDT,spot,MARKET_LOT_SIZE.stepSize,0,2022-01-02T13:48:38Z,212,0,0,212,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI23_BTCUSDT_LOT_SIZE_minQty,SPOTI23,BTCUSDT,spot,LOT_SIZE.minQty,0.00001,2023-06-18T16:14:25Z,24,24,0,0,,quantity_below_minimum,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI23_BTCUSDT_LOT_SIZE_minQty,SPOTI23,BTCUSDT,spot,LOT_SIZE.minQty,0.00001,2023-06-18T16:14:25Z,197,197,0,0,,quantity_below_minimum,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI23_BTCUSDT_LOT_SIZE_maxQty,SPOTI23,BTCUSDT,spot,LOT_SIZE.maxQty,9000,2023-06-18T16:14:25Z,24,24,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI23_BTCUSDT_LOT_SIZE_maxQty,SPOTI23,BTCUSDT,spot,LOT_SIZE.maxQty,9000,2023-06-18T16:14:25Z,197,197,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI23_BTCUSDT_LOT_SIZE_stepSize,SPOTI23,BTCUSDT,spot,LOT_SIZE.stepSize,0.00001,2023-06-18T16:14:25Z,24,24,0,0,,quantity_modulo_positive_step,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI23_BTCUSDT_LOT_SIZE_stepSize,SPOTI23,BTCUSDT,spot,LOT_SIZE.stepSize,0.00001,2023-06-18T16:14:25Z,197,197,0,0,,quantity_modulo_positive_step,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI23_BTCUSDT_MARKET_LOT_SIZE_minQty,SPOTI23,BTCUSDT,spot,MARKET_LOT_SIZE.minQty,0,2023-06-18T16:14:25Z,24,0,0,24,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI23_BTCUSDT_MARKET_LOT_SIZE_minQty,SPOTI23,BTCUSDT,spot,MARKET_LOT_SIZE.minQty,0,2023-06-18T16:14:25Z,197,0,0,197,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI23_BTCUSDT_MARKET_LOT_SIZE_maxQty,SPOTI23,BTCUSDT,spot,MARKET_LOT_SIZE.maxQty,151.09725956,2023-06-18T16:14:25Z,24,24,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI23_BTCUSDT_MARKET_LOT_SIZE_maxQty,SPOTI23,BTCUSDT,spot,MARKET_LOT_SIZE.maxQty,151.09725956,2023-06-18T16:14:25Z,197,197,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
