scenario,strategy,run_id,period,start_utc,end_exclusive_utc,old_invested_seconds,old_unhedged_seconds,old_invested_fraction,raw_invested_seconds,raw_unhedged_seconds,raw_invested_fraction,invested_seconds,unhedged_seconds,covered_seconds,dust_seconds,dust_only_seconds,no_active_seconds,no_inventory_seconds,calendar_seconds,invested_fraction,delta_invested_seconds,delta_unhedged_seconds,h2_before,h2_after,h2_changed
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024+,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,84153600.000,1153380.000,1.000,84153600.000000000,1153380.000000000,1.000000000,83851560.000000000,5520.000000000,83850960.000000000,1148040.000000000,302040.000000000,302040.000000000,0E-9,84153600,0.9964108487337440109514031485,-302040.000000000,-1147860.000000000,no_favorable,no_favorable,False
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2022,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,31276680.000,4892700.000,0.9917770167427701674277016743,31276680.000000000,4892700.000000000,0.9917770167427701674277016743,30993180.000000000,1440.000000000,30992760.000000000,4891560.000000000,283500.000000000,542820.000000000,259320.000000000,31536000,0.9827872907153729071537290715,-283500.000000000,-4891260.000000000,no_favorable,no_favorable,False
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2023,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,31536000.000,2142360.000,1.000,31536000.000000000,2142360.000000000,1.000000000,29743080.000000000,9240.000000000,29735520.000000000,2133120.000000000,1792920.000000000,1792920.000000000,0E-9,31536000,0.9431468797564687975646879756,-1792920.000000000,-2133120.000000000,no_favorable,no_favorable,False
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,31622400.000,725400.000,1.000,31622400.000000000,725400.000000000,1.000000000,31320360.000000000,3660.000000000,31319760.000000000,721920.000000000,302040.000000000,302040.000000000,0E-9,31622400,0.9904485428051001821493624772,-302040.000000000,-721740.000000000,no_favorable,no_favorable,False
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2025,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,31536000.000,427860.000,1.000,31536000.000000000,427860.000000000,1.000000000,31536000.000000000,1740.000000000,31536000.000000000,426120.000000000,0E-9,0E-9,0E-9,31536000,1.000000000,0E-9,-426120.000000000,no_favorable,no_favorable,False
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2026,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,20995200.000,120.000,1.000,20995200.000000000,120.000000000,1.000000000,20995200.000000000,120.000000000,20995200.000000000,0E-9,0E-9,0E-9,0E-9,20995200,1.000000000,0E-9,0E-9,no_favorable,no_favorable,False
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,114537420.000,85644240.000,0.7779721733176838810641627543,114537420.000000000,85644240.000000000,0.7779721733176838810641627543,41691120.000000000,11340.000000000,41682240.000000000,85633920.000000000,72846300.000000000,105534480.000000000,32688180.000000000,147225600,0.2831784689619196661450182577,-72846300.000000000,-85632900.000000000,no_favorable,no_favorable,False
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022-2023,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,30383820.000,20002440.000,0.4817323059360730593607305936,30383820.000000000,20002440.000000000,0.4817323059360730593607305936,10389480.000000000,8100.000000000,10381680.000000000,19994340.000000000,19994340.000000000,52682520.000000000,32688180.000000000,63072000,0.1647241248097412480974124810,-19994340.000000000,-19994340.000000000,no_favorable,no_favorable,False
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024+,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,84153600.000,65641800.000,1.000,84153600.000000000,65641800.000000000,1.000000000,31301640.000000000,3240.000000000,31300560.000000000,65639580.000000000,52851960.000000000,52851960.000000000,0E-9,84153600,0.3719584188911704312114989733,-52851960.000000000,-65638560.000000000,no_favorable,no_favorable,False
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,0,0,0,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,31536000.000000000,31536000.000000000,31536000,0E-9,0E-9,0E-9,no_concluyente,no_concluyente,False
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2023,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,30383820.000,20002440.000,0.9634646118721461187214611872,30383820.000000000,20002440.000000000,0.9634646118721461187214611872,10389480.000000000,8100.000000000,10381680.000000000,19994340.000000000,19994340.000000000,21146520.000000000,1152180.000000000,31536000,0.3294482496194824961948249619,-19994340.000000000,-19994340.000000000,no_favorable,no_favorable,False
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,31622400.000,13110600.000,1.000,31622400.000000000,13110600.000000000,1.000000000,21192420.000000000,2460.000000000,21192120.000000000,13108380.000000000,10429980.000000000,10429980.000000000,0E-9,31622400,0.6701711445051608986035215543,-10429980.000000000,-13108140.000000000,no_favorable,no_favorable,False
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2025,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,31536000.000,31536000.000,1.000,31536000.000000000,31536000.000000000,1.000000000,10109220.000000000,780.000000000,10108440.000000000,31536000.000000000,21426780.000000000,21426780.000000000,0E-9,31536000,0.3205612633181126331811263318,-21426780.000000000,-31535220.000000000,no_favorable,no_favorable,False
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2026,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,20995200,20995200,1,20995200.000000000,20995200.000000000,1.000000000,0E-9,0E-9,0E-9,20995200.000000000,20995200.000000000,20995200.000000000,0E-9,20995200,0E-9,-20995200.000000000,-20995200.000000000,no_favorable,no_favorable,False
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,114537420.000,91111860.000,0.7779721733176838810641627543,114537420.000000000,91111860.000000000,0.7779721733176838810641627543,41687160.000000000,11580.000000000,41678100.000000000,91101960.000000000,72850260.000000000,105538440.000000000,32688180.000000000,147225600,0.2831515714658320292123109025,-72850260.000000000,-91100280.000000000,no_favorable,no_favorable,False
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2022-2023,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,30383820.000,25330140.000,0.4817323059360730593607305936,30383820.000000000,25330140.000000000,0.4817323059360730593607305936,10389540.000000000,8220.000000000,10381740.000000000,25322400.000000000,19994280.000000000,52682460.000000000,32688180.000000000,63072000,0.1647250761035007610350076104,-19994280.000000000,-25321920.000000000,no_favorable,no_favorable,False
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2024+,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,84153600.000,65781720.000,1.000,84153600.000000000,65781720.000000000,1.000000000,31297620.000000000,3360.000000000,31296360.000000000,65779560.000000000,52855980.000000000,52855980.000000000,0E-9,84153600,0.3719106490987907825690166553,-52855980.000000000,-65778360.000000000,no_favorable,no_favorable,False
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2022,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,0,0,0,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,31536000.000000000,31536000.000000000,31536000,0E-9,0E-9,0E-9,no_concluyente,no_concluyente,False
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2023,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,30383820.000,25330140.000,0.9634646118721461187214611872,30383820.000000000,25330140.000000000,0.9634646118721461187214611872,10389540.000000000,8220.000000000,10381740.000000000,25322400.000000000,19994280.000000000,21146460.000000000,1152180.000000000,31536000,0.3294501522070015220700152207,-19994280.000000000,-25321920.000000000,no_favorable,no_favorable,False
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2024,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,31622400.000,13250520.000,1.000,31622400.000000000,13250520.000000000,1.000000000,21188400.000000000,2580.000000000,21187920.000000000,13248360.000000000,10434000.000000000,10434000.000000000,0E-9,31622400,0.6700440194292653309046751670,-10434000.000000000,-13247940.000000000,no_favorable,no_favorable,False
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2025,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,31536000.000,31536000.000,1.000,31536000.000000000,31536000.000000000,1.000000000,10109220.000000000,780.000000000,10108440.000000000,31536000.000000000,21426780.000000000,21426780.000000000,0E-9,31536000,0.3205612633181126331811263318,-21426780.000000000,-31535220.000000000,no_favorable,no_favorable,False
