action,cancel_requested_at,data_kind,deadline,deadline_utc,filled_quantity,funding_filter_enabled,market,order_id,purpose,quantity,recent_volume_quantity,record_type,reference_ids,remaining_quantity,run_id,scenario,side,status,strategy,submitted_at,submitted_at_utc,symbol,time_ns,timestamp_utc,units,vwap_notional,vwap_quantity,window,window_end,window_end_utc,window_start,window_start_utc
timeout,,historical_assumptions,1679664540000000000,2023-03-24T13:29:00.000000000Z,0,False,spot,permanent-00000237,close_spot,0.11124,0,event,[],0.11124,run_47cc0b884944c31d9695906c,vwap_only,SELL,expired,permanent,1679664480000000000,2023-03-24T13:28:00.000000000Z,BTCUSDT,1679664540000000000,2023-03-24T13:29:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664540000000000,2023-03-24T13:29:00.000000000Z,1679664480000000000,2023-03-24T13:28:00.000000000Z
submitted,,historical_assumptions,1679664600000000000,2023-03-24T13:30:00.000000000Z,0,False,spot,permanent-00000239,close_spot,0.11124,0,event,[],0.11124,run_47cc0b884944c31d9695906c,vwap_only,SELL,pending,permanent,1679664540000000000,2023-03-24T13:29:00.000000000Z,BTCUSDT,1679664540000000000,2023-03-24T13:29:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664600000000000,2023-03-24T13:30:00.000000000Z,1679664540000000000,2023-03-24T13:29:00.000000000Z
timeout,,historical_assumptions,1679664540000000000,2023-03-24T13:29:00.000000000Z,0,False,spot,permanent-00000238,close_spot,1.7076,0,event,[],1.7076,run_47cc0b884944c31d9695906c,vwap_only,SELL,expired,permanent,1679664480000000000,2023-03-24T13:28:00.000000000Z,ETHUSDT,1679664540000000000,2023-03-24T13:29:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664540000000000,2023-03-24T13:29:00.000000000Z,1679664480000000000,2023-03-24T13:28:00.000000000Z
submitted,,historical_assumptions,1679664600000000000,2023-03-24T13:30:00.000000000Z,0,False,spot,permanent-00000240,close_spot,1.7076,0,event,[],1.7076,run_47cc0b884944c31d9695906c,vwap_only,SELL,pending,permanent,1679664540000000000,2023-03-24T13:29:00.000000000Z,ETHUSDT,1679664540000000000,2023-03-24T13:29:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664600000000000,2023-03-24T13:30:00.000000000Z,1679664540000000000,2023-03-24T13:29:00.000000000Z
timeout,,historical_assumptions,1679664600000000000,2023-03-24T13:30:00.000000000Z,0,False,spot,permanent-00000239,close_spot,0.11124,0,event,[],0.11124,run_47cc0b884944c31d9695906c,vwap_only,SELL,expired,permanent,1679664540000000000,2023-03-24T13:29:00.000000000Z,BTCUSDT,1679664600000000000,2023-03-24T13:30:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664600000000000,2023-03-24T13:30:00.000000000Z,1679664540000000000,2023-03-24T13:29:00.000000000Z
submitted,,historical_assumptions,1679664660000000000,2023-03-24T13:31:00.000000000Z,0,False,spot,permanent-00000241,close_spot,0.11124,0,event,[],0.11124,run_47cc0b884944c31d9695906c,vwap_only,SELL,pending,permanent,1679664600000000000,2023-03-24T13:30:00.000000000Z,BTCUSDT,1679664600000000000,2023-03-24T13:30:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664660000000000,2023-03-24T13:31:00.000000000Z,1679664600000000000,2023-03-24T13:30:00.000000000Z
timeout,,historical_assumptions,1679664600000000000,2023-03-24T13:30:00.000000000Z,0,False,spot,permanent-00000240,close_spot,1.7076,0,event,[],1.7076,run_47cc0b884944c31d9695906c,vwap_only,SELL,expired,permanent,1679664540000000000,2023-03-24T13:29:00.000000000Z,ETHUSDT,1679664600000000000,2023-03-24T13:30:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664600000000000,2023-03-24T13:30:00.000000000Z,1679664540000000000,2023-03-24T13:29:00.000000000Z
submitted,,historical_assumptions,1679664660000000000,2023-03-24T13:31:00.000000000Z,0,False,spot,permanent-00000242,close_spot,1.7076,0,event,[],1.7076,run_47cc0b884944c31d9695906c,vwap_only,SELL,pending,permanent,1679664600000000000,2023-03-24T13:30:00.000000000Z,ETHUSDT,1679664600000000000,2023-03-24T13:30:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664660000000000,2023-03-24T13:31:00.000000000Z,1679664600000000000,2023-03-24T13:30:00.000000000Z
timeout,,historical_assumptions,1679664660000000000,2023-03-24T13:31:00.000000000Z,0,False,spot,permanent-00000241,close_spot,0.11124,0,event,[],0.11124,run_47cc0b884944c31d9695906c,vwap_only,SELL,expired,permanent,1679664600000000000,2023-03-24T13:30:00.000000000Z,BTCUSDT,1679664660000000000,2023-03-24T13:31:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664660000000000,2023-03-24T13:31:00.000000000Z,1679664600000000000,2023-03-24T13:30:00.000000000Z
submitted,,historical_assumptions,1679664720000000000,2023-03-24T13:32:00.000000000Z,0,False,spot,permanent-00000243,close_spot,0.11124,0,event,[],0.11124,run_47cc0b884944c31d9695906c,vwap_only,SELL,pending,permanent,1679664660000000000,2023-03-24T13:31:00.000000000Z,BTCUSDT,1679664660000000000,2023-03-24T13:31:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664720000000000,2023-03-24T13:32:00.000000000Z,1679664660000000000,2023-03-24T13:31:00.000000000Z
timeout,,historical_assumptions,1679664660000000000,2023-03-24T13:31:00.000000000Z,0,False,spot,permanent-00000242,close_spot,1.7076,0,event,[],1.7076,run_47cc0b884944c31d9695906c,vwap_only,SELL,expired,permanent,1679664600000000000,2023-03-24T13:30:00.000000000Z,ETHUSDT,1679664660000000000,2023-03-24T13:31:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664660000000000,2023-03-24T13:31:00.000000000Z,1679664600000000000,2023-03-24T13:30:00.000000000Z
submitted,,historical_assumptions,1679664720000000000,2023-03-24T13:32:00.000000000Z,0,False,spot,permanent-00000244,close_spot,1.7076,0,event,[],1.7076,run_47cc0b884944c31d9695906c,vwap_only,SELL,pending,permanent,1679664660000000000,2023-03-24T13:31:00.000000000Z,ETHUSDT,1679664660000000000,2023-03-24T13:31:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664720000000000,2023-03-24T13:32:00.000000000Z,1679664660000000000,2023-03-24T13:31:00.000000000Z
timeout,,historical_assumptions,1679664720000000000,2023-03-24T13:32:00.000000000Z,0,False,spot,permanent-00000243,close_spot,0.11124,0,event,[],0.11124,run_47cc0b884944c31d9695906c,vwap_only,SELL,expired,permanent,1679664660000000000,2023-03-24T13:31:00.000000000Z,BTCUSDT,1679664720000000000,2023-03-24T13:32:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664720000000000,2023-03-24T13:32:00.000000000Z,1679664660000000000,2023-03-24T13:31:00.000000000Z
submitted,,historical_assumptions,1679664780000000000,2023-03-24T13:33:00.000000000Z,0,False,spot,permanent-00000245,close_spot,0.11124,0,event,[],0.11124,run_47cc0b884944c31d9695906c,vwap_only,SELL,pending,permanent,1679664720000000000,2023-03-24T13:32:00.000000000Z,BTCUSDT,1679664720000000000,2023-03-24T13:32:00.000000000Z,"{""action"":""identifier, label or count as column indicates"",""cancel_requested_at"":""identifier, label or count as column indicates"",""data_kind"":""identifier, label or count as column indicates"",""deadline"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""deadline_utc"":""ISO 8601 UTC"",""filled_quantity"":""identifier, label or count as column indicates"",""funding_filter_enabled"":""boolean"",""market"":""identifier, label or count as column indicates"",""order_id"":""identifier, label or count as column indicates"",""purpose"":""identifier, label or count as column indicates"",""quantity"":""base asset units"",""recent_volume_quantity"":""base asset units"",""record_type"":""identifier, label or count as column indicates"",""reference_ids"":""identifier, label or count as column indicates"",""remaining_quantity"":""identifier, label or count as column indicates"",""run_id"":""identifier, label or count as column indicates"",""side"":""identifier, label or count as column indicates"",""status"":""identifier, label or count as column indicates"",""strategy"":""identifier, label or count as column indicates"",""submitted_at"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""submitted_at_utc"":""ISO 8601 UTC"",""symbol"":""identifier, label or count as column indicates"",""time_ns"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""timestamp_utc"":""ISO 8601 UTC"",""vwap_notional"":""USDT"",""vwap_quantity"":""base asset units"",""window_end"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_end_utc"":""ISO 8601 UTC"",""window_start"":""UTC nanoseconds when numeric; otherwise ISO 8601 UTC"",""window_start_utc"":""ISO 8601 UTC""}",0,0,early,1679664780000000000,2023-03-24T13:33:00.000000000Z,1679664720000000000,2023-03-24T13:32:00.000000000Z
