measure,observations,p10,p50,p90,scenario,strategy,symbol,window
forecast,1095,-0.0004524873716677142303805423086,0.0008034865409012943120239034885,0.001503291018131287677318715763,legacy_reference,permanent,BTCUSDT,late
forecast_minus_cost,1095,-0.003852487371667714230380542309,-0.002596513459098705687976096512,-0.001896708981868712322681284237,legacy_reference,permanent,BTCUSDT,late
basis,1095,-0.0005962427533573053496734424,-0.0004764629942638114377736668,-0.0003606857060926760639108188,legacy_reference,permanent,ETHUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,legacy_reference,permanent,ETHUSDT,late
forecast,1095,-0.0006636479175684079138533733328,0.0006195113610803637935305593466,0.001307580960888203387278579109,legacy_reference,permanent,ETHUSDT,late
forecast_minus_cost,1095,-0.004063647917568407913853373333,-0.002780488638919636206469440653,-0.002092419039111796612721420891,legacy_reference,permanent,ETHUSDT,late
basis,1095,-0.0005835122443154374492508992,-0.0004691424772140704521306682,-0.0003462315787588855943119848,vwap_joint,conditional,BTCUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_joint,conditional,BTCUSDT,late
forecast,1095,-0.0004524873716677142303805423086,0.0008034865409012943120239034885,0.001503291018131287677318715763,vwap_joint,conditional,BTCUSDT,late
forecast_minus_cost,1095,-0.003852487371667714230380542309,-0.002596513459098705687976096512,-0.001896708981868712322681284237,vwap_joint,conditional,BTCUSDT,late
basis,1095,-0.0005965570138060337480824953,-0.0004769497659672962091845562,-0.0003584688260145948022020228,vwap_joint,conditional,ETHUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_joint,conditional,ETHUSDT,late
forecast,1095,-0.0006636479175684079138533733328,0.0006195113610803637935305593466,0.001307580960888203387278579109,vwap_joint,conditional,ETHUSDT,late
forecast_minus_cost,1095,-0.004063647917568407913853373333,-0.002780488638919636206469440653,-0.002092419039111796612721420891,vwap_joint,conditional,ETHUSDT,late
basis,1095,-0.0005835122443154374492508992,-0.0004691424772140704521306682,-0.0003462315787588855943119848,vwap_joint,permanent,BTCUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_joint,permanent,BTCUSDT,late
forecast,1095,-0.0004524873716677142303805423086,0.0008034865409012943120239034885,0.001503291018131287677318715763,vwap_joint,permanent,BTCUSDT,late
forecast_minus_cost,1095,-0.003852487371667714230380542309,-0.002596513459098705687976096512,-0.001896708981868712322681284237,vwap_joint,permanent,BTCUSDT,late
basis,1095,-0.0005965570138060337480824953,-0.0004769497659672962091845562,-0.0003584688260145948022020228,vwap_joint,permanent,ETHUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_joint,permanent,ETHUSDT,late
forecast,1095,-0.0006636479175684079138533733328,0.0006195113610803637935305593466,0.001307580960888203387278579109,vwap_joint,permanent,ETHUSDT,late
forecast_minus_cost,1095,-0.004063647917568407913853373333,-0.002780488638919636206469440653,-0.002092419039111796612721420891,vwap_joint,permanent,ETHUSDT,late
basis,1095,-0.0005835122443154374492508992,-0.0004691424772140704521306682,-0.0003462315787588855943119848,vwap_only,conditional,BTCUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_only,conditional,BTCUSDT,late
forecast,1095,-0.0004524873716677142303805423086,0.0008034865409012943120239034885,0.001503291018131287677318715763,vwap_only,conditional,BTCUSDT,late
forecast_minus_cost,1095,-0.003852487371667714230380542309,-0.002596513459098705687976096512,-0.001896708981868712322681284237,vwap_only,conditional,BTCUSDT,late
basis,1095,-0.0005965570138060337480824953,-0.0004769497659672962091845562,-0.0003584688260145948022020228,vwap_only,conditional,ETHUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_only,conditional,ETHUSDT,late
forecast,1095,-0.0006636479175684079138533733328,0.0006195113610803637935305593466,0.001307580960888203387278579109,vwap_only,conditional,ETHUSDT,late
forecast_minus_cost,1095,-0.004063647917568407913853373333,-0.002780488638919636206469440653,-0.002092419039111796612721420891,vwap_only,conditional,ETHUSDT,late
basis,1095,-0.0005835122443154374492508992,-0.0004691424772140704521306682,-0.0003462315787588855943119848,vwap_only,permanent,BTCUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_only,permanent,BTCUSDT,late
forecast,1095,-0.0004524873716677142303805423086,0.0008034865409012943120239034885,0.001503291018131287677318715763,vwap_only,permanent,BTCUSDT,late
forecast_minus_cost,1095,-0.003852487371667714230380542309,-0.002596513459098705687976096512,-0.001896708981868712322681284237,vwap_only,permanent,BTCUSDT,late
basis,1095,-0.0005965570138060337480824953,-0.0004769497659672962091845562,-0.0003584688260145948022020228,vwap_only,permanent,ETHUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_only,permanent,ETHUSDT,late
forecast,1095,-0.0006636479175684079138533733328,0.0006195113610803637935305593466,0.001307580960888203387278579109,vwap_only,permanent,ETHUSDT,late
forecast_minus_cost,1095,-0.004063647917568407913853373333,-0.002780488638919636206469440653,-0.002092419039111796612721420891,vwap_only,permanent,ETHUSDT,late
